Customer ID,Transaction ID,Date,Product ID,Item Cost
1431105976,T20066,2014/00/01,P08719,14.99
1431105976,T47961,2014/09/03,P56063,7.99
1431105976,T24352,2015/00/24,P41420,19.99
1431105976,T06252,2016/08/10,P58928,16.99
1431105976,T47991,2016/09/00,P04501,14.99
1431105976,T19854,2016/03/14,P04501,15.99
1431105976,T00079,2014/01/17,P08719,12.99
1431105976,T40789,2017/03/08,P56063,13.99
1431105976,T11219,2017/00/26,P56063,13.99
1431105976,T35246,2013/01/22,P55500,17.99
1431105976,T36497,2014/06/18,P04501,17.99
1431105976,T28605,2013/10/08,P41420,1.99
1431105976,T08568,2013/00/27,P56063,14.99
1431105976,T40977,2016/05/09,P08719,17.99
1431105976,T00453,2017/02/22,P86411,7.99
2471968005,T24156,2016/11/07,P56063,10.99
2471968005,T11652,2013/06/23,P55500,6.99
2471968005,T39801,2015/10/09,P04501,15.99
2471968005,T30121,2016/02/18,P14419,4.99
2471968005,T03884,2013/01/00,P56063,17.99
2471968005,T36379,2013/10/13,P86411,0.99
2471968005,T03760,2017/01/27,P20036,12.99
2471968005,T45081,2016/02/26,P41420,16.99
2471968005,T37250,2017/02/03,P08719,18.99
2471968005,T13973,2017/03/11,P41420,12.99
2471968005,T19010,2013/04/15,P58928,11.99
2471968005,T22318,2015/02/10,P08719,19.99
2471968005,T28492,2015/01/17,P14419,3.99
2471968005,T21978,2017/10/12,P08719,10.99
2471968005,T19706,2017/00/01,P56063,7.99
2479398662,T40395,2015/01/13,P56063,12.99
2479398662,T46664,2015/08/09,P99613,13.99
2479398662,T20045,2013/02/20,P55500,13.99
2479398662,T36905,2017/11/13,P41420,11.99
2479398662,T41889,2017/07/05,P04501,8.99
2479398662,T05343,2016/01/16,P41420,19.99
2479398662,T09506,2017/10/11,P14419,14.99
2479398662,T29864,2016/01/00,P41420,20.99
2479398662,T19154,2017/07/04,P56063,7.99
2479398662,T03155,2018/11/05,P41420,4.99
2963402639,T16763,2015/09/13,P56063,6.99
2963402639,T33099,2016/09/24,P04501,7.99
2963402639,T12141,2015/11/01,P41420,7.99
2963402639,T29788,2015/06/02,P86411,15.99
2963402639,T01955,2014/06/02,P41420,9.99
2963402639,T38530,2017/04/19,P86411,3.99
2963402639,T25288,2014/04/23,P55500,7.99
2963402639,T07704,2018/08/23,P99613,3.99
2963402639,T16710,2016/06/26,P99613,2.99
2963402639,T17485,2016/01/04,P86411,9.99
2963402639,T13324,2018/01/12,P41420,10.99
2963402639,T01687,2015/08/16,P99613,16.99
2963402639,T35955,2018/11/12,P20036,3.99
2963402639,T00752,2016/07/23,P86411,1.99
2963402639,T17148,2016/03/22,P86411,1.99
3485899067,T02201,2014/09/06,P20036,15.99
3485899067,T14923,2013/03/25,P04501,18.99
3485899067,T12191,2013/01/18,P58928,8.99
3485899067,T48248,2016/01/19,P04501,15.99
3485899067,T19813,2017/11/23,P20036,1.99
3485899067,T32681,2013/08/01,P20036,13.99
3485899067,T12312,2014/05/12,P41420,3.99
3485899067,T10912,2014/04/11,P41420,4.99
3485899067,T49747,2016/06/20,P41420,10.99
3485899067,T45233,2017/09/26,P56063,2.99
3485899067,T02731,2014/07/03,P14419,10.99
3485899067,T05589,2013/11/00,P58928,15.99
3485899067,T31311,2016/09/25,P04501,9.99
3485899067,T38099,2016/09/26,P56063,18.99
3485899067,T01405,2014/04/12,P56063,10.99
3485899067,T25072,2014/06/10,P04501,12.99
3485899067,T04714,2018/04/15,P20036,3.99
3485899067,T08074,2018/09/05,P41420,20.99
3485899067,T26130,2013/05/21,P56063,16.99
3485899067,T40392,2016/10/13,P41420,12.99
3485899067,T13339,2017/11/16,P58928,9.99
3485899067,T12538,2015/04/17,P08719,11.99
3485899067,T05172,2015/03/24,P58928,7.99
3485899067,T19321,2015/05/07,P14419,17.99
3485899067,T18412,2016/05/21,P14419,15.99
3485899067,T28398,2013/10/11,P55500,13.99
3485899067,T41865,2017/06/00,P04501,11.99
3485899067,T31623,2015/02/27,P14419,10.99
3485899067,T39361,2013/02/07,P04501,11.99
3485899067,T40017,2017/00/21,P14419,4.99
3485899067,T09594,2017/09/04,P04501,15.99
3485899067,T32592,2017/01/14,P08719,16.99
3485899067,T16281,2016/05/22,P41420,10.99
3485899067,T09230,2015/02/10,P41420,19.99
3485899067,T02344,2015/06/10,P14419,3.99
3485899067,T09349,2017/11/18,P20036,8.99
3485899067,T25938,2018/08/18,P41420,14.99
3485899067,T13591,2014/06/04,P14419,15.99
3485899067,T29595,2015/01/20,P86411,14.99
3485899067,T00658,2013/01/23,P86411,9.99
3485899067,T07097,2013/06/09,P04501,9.99
3485899067,T21743,2013/11/03,P56063,2.99
3485899067,T26175,2014/10/01,P20036,3.99
